chapter,pair,dA,dB,delta_AB,delta_A,delta_B,delta_0,interaction,se,n_items
6,mistranslation+addition,10%,bad_10%,1.5833006254906605,1.0692868310993051,-0.038681277159797696,-0.35182328371723104,0.20087178783392207,1.442015049981056,8
6,mistranslation+addition,10%,bad_20%,1.5833006254906605,1.0692868310993051,-0.8212928951038169,-0.35182328371723104,0.9834834057779412,1.5507376723366006,8
6,mistranslation+omission,10%,10%,1.854370034543224,1.0692868310993051,-2.3799553021297486,-0.35182328371723104,2.8132152218564364,2.0497439532921087,8
6,mistranslation+omission,10%,20%,1.5833006254906608,1.0692868310993051,-0.8212928951038169,-0.35182328371723104,0.9834834057779415,1.5507376723366006,8
6,mistranslation+addition,20%,bad_10%,1.854370034543224,-0.8212928951038169,-0.038681277159797696,-0.35182328371723104,2.3625209230896074,1.6060336248212488,8
6,mistranslation+addition,20%,bad_20%,2.146347222046476,-0.8212928951038169,-0.8212928951038169,-0.35182328371723104,3.437109728536879,1.7199435697494594,8
6,mistranslation+omission,20%,10%,2.4730388420747587,-0.8212928951038169,-2.3799553021297486,-0.35182328371723104,5.322463755591093,2.1935685598704806,8
6,mistranslation+omission,20%,20%,0.8130720264869009,-0.8212928951038169,-0.8212928951038169,-0.35182328371723104,2.1038345329773036,1.692175506522608,8
7,grammar+omission,10%,10%,2.728593170458557,1.0211723164575826,1.4617787490673575,0.7995961068696488,1.0452382118032657,1.3330211959692801,9
7,grammar+omission,10%,20%,3.0904030867833723,1.0211723164575826,1.4617787490673575,0.7995961068696488,1.4070481281280809,1.3891127589759682,9
7,mistranslation+addition,10%,bad_10%,3.5581254514677707,0.5538530351818781,0.005533824743493005,0.5538530351818783,3.5525916267242783,1.568848792960609,9
7,mistranslation+addition,10%,bad_20%,2.728593170458557,0.5538530351818781,0.005533824743493,0.5538530351818783,2.7230593457150647,1.4202481393341402,9
7,mistranslation+omission,10%,10%,3.0904030867833723,0.5538530351818781,1.4617787490673575,0.5538530351818783,1.6286243377160152,1.4111069775208875,9
7,mistranslation+omission,10%,20%,3.0904030867833723,0.5538530351818781,1.4617787490673575,0.5538530351818783,1.6286243377160152,1.4111069775208875,9
7,mistranslation+addition,20%,bad_10%,1.6841071672388668,1.0211723164575828,0.005533824743493005,0.5538530351818783,1.2112540612196694,1.3283827429790662,9
7,mistranslation+addition,20%,bad_20%,2.4257024826872855,1.0211723164575828,0.005533824743493,0.5538530351818783,1.952849376668088,1.3704785813671647,9
7,mistranslation+omission,20%,10%,3.5581254514677707,1.0211723164575828,1.4617787490673575,0.5538530351818783,1.6290274211247089,1.4946402163955215,9
7,mistranslation+omission,20%,20%,3.5581254514677707,1.0211723164575828,1.4617787490673575,0.5538530351818783,1.6290274211247089,1.4946402163955215,9
