model,method,chapter,delta,se,n,acc
1.5b,mBART-50,7,1.5523358478964309,0.47701263572736097,18,0.4444444444444444
1.5b,mBART-50,8,0.6946401034580187,0.4820989775941306,18,0.5555555555555556
1.5b,nllb-200-1.3B,1,0.5633195166601215,0.3365791731010848,44,0.7045454545454546
1.5b,nllb-200-1.3B,2,0.9070070988606906,0.4288245844752027,24,0.625
1.5b,nllb-200-1.3B,3,-0.3186454928646919,0.7481101178376809,14,0.8571428571428571
1.5b,nllb-200-1.3B,4,0.8326547544322564,0.3188127804070113,44,0.6136363636363636
1.5b,nllb-200-1.3B,5,-0.3774950331057567,0.5016077555072672,26,0.8076923076923077
1.5b,nllb-200-1.3B,6,-0.7866038149259637,0.7325846023997835,16,0.875
1.5b,nllb-200-1.3B,7,1.5523358478964309,0.47701263572736097,18,0.4444444444444444
1.5b,nllb-200-1.3B,8,0.6946401034580187,0.4820989775941306,18,0.5555555555555556
1.5b,nllb-200-distilled-600M,1,0.196614266986563,0.3649326279842612,44,0.7727272727272727
1.5b,nllb-200-distilled-600M,2,0.7185680928434068,0.43998097883627524,24,0.6666666666666666
1.5b,nllb-200-distilled-600M,3,-0.3186454928646917,0.7481101178376809,14,0.8571428571428571
1.5b,nllb-200-distilled-600M,4,-0.10775240063597541,0.3800939087553065,44,0.7954545454545454
1.5b,nllb-200-distilled-600M,5,-0.37749503310575644,0.5016077555072671,26,0.8076923076923077
1.5b,nllb-200-distilled-600M,6,0.0472435997209446,0.5827947216086159,16,0.75
1.5b,nllb-200-distilled-600M,7,1.5523358478964306,0.47701263572736097,18,0.4444444444444444
1.5b,nllb-200-distilled-600M,8,0.45856430864603864,0.4906340267120408,18,0.6111111111111112
1.7b,google_word_by_word,1,0.46797837000127196,0.3853771456300076,44,0.7954545454545454
1.7b,google_word_by_word,2,1.3398576150723007,0.4411241937935848,24,0.625
1.7b,google_word_by_word,3,0.5521564873526514,0.6665679363932852,14,0.7857142857142857
1.7b,google_word_by_word,4,1.170091911806036,0.3296217547083429,44,0.6363636363636364
1.7b,google_word_by_word,5,1.0728326828797328,0.4260105690658333,26,0.6153846153846154
1.7b,google_word_by_word,6,-0.42563545487323917,0.7488534772751257,16,0.875
1.7b,google_word_by_word,7,1.3031421655022741,0.5014771453748398,18,0.6111111111111112
1.7b,google_word_by_word,8,0.8951223679020127,0.5037064307219072,18,0.6111111111111112
1.7b,helsinki,1,0.14422258827761808,0.42157196115881707,44,0.8409090909090909
1.7b,helsinki,2,0.7022856936437377,0.4879468273606767,24,0.75
1.7b,helsinki,3,1.311475284728254,0.5797804491174661,14,0.6428571428571429
1.7b,helsinki,5,0.26357716251952623,0.484079488821089,26,0.7692307692307693
1.7b,helsinki,6,-2.578145310449301,1.6023703729341474,16,1.0
1.7b,helsinki,7,0.45065264656577025,0.5798313676495992,18,0.7777777777777778
1.7b,helsinki,8,1.3872541585380014,0.4920354257022426,18,0.5
1.7b,llm_prompt_high,1,-0.8158898417095337,0.5883247697288062,44,0.9318181818181818
1.7b,llm_prompt_high,2,0.45068728550022,0.5167035365341363,24,0.7916666666666666
1.7b,llm_prompt_high,3,-2.2422428359469535,1.68283225423377,14,1.0
1.7b,llm_prompt_high,4,0.2997414946056944,0.3864324419020949,44,0.7954545454545454
1.7b,llm_prompt_high,5,0.015714255348525753,0.5130293484707105,26,0.8076923076923077
1.7b,llm_prompt_high,6,-0.42563545487323934,0.748853477275126,16,0.875
1.7b,llm_prompt_high,7,0.0822144269687331,0.6382726703713772,18,0.8333333333333334
1.7b,llm_prompt_high,8,0.0408954213243123,0.5784500689240435,18,0.7777777777777778
1.7b,llm_prompt_low,1,-0.2578327389427208,0.4795924786539673,44,0.8863636363636364
1.7b,llm_prompt_low,2,0.9298514137364636,0.46715071896047017,24,0.7083333333333334
1.7b,llm_prompt_low,3,-0.6813433582999915,0.9693109285053393,14,0.9285714285714286
1.7b,llm_prompt_low,4,0.5791718389815992,0.36249383805977936,44,0.75
1.7b,llm_prompt_low,5,1.0728326828797325,0.4260105690658333,26,0.6153846153846154
1.7b,llm_prompt_low,6,-1.1236128523910285,0.9462588359259677,16,0.9375
1.7b,llm_prompt_low,7,1.0441342500651867,0.5175701782398818,18,0.6666666666666666
1.7b,llm_prompt_low,8,0.6343485030747708,0.5187905796960898,18,0.6666666666666666
1.7b,llm_prompt_medium,1,0.1442225882776183,0.42157196115881707,44,0.8409090909090909
1.7b,llm_prompt_medium,2,0.7022856936437378,0.48794682736067657,24,0.75
1.7b,llm_prompt_medium,3,-2.2422428359469535,1.68283225423377,14,1.0
1.7b,llm_prompt_medium,4,0.7072149407776106,0.3534162418402595,44,0.7272727272727273
1.7b,llm_prompt_medium,5,0.6937261647989623,0.4467759003695532,26,0.6923076923076923
1.7b,llm_prompt_medium,6,-1.1236128523910285,0.9462588359259677,16,0.9375
1.7b,llm_prompt_medium,7,1.0441342500651867,0.5175701782398818,18,0.6666666666666666
1.7b,llm_prompt_medium,8,0.3536522122294143,0.5424062137756628,18,0.7222222222222222
1.7b,mBART-50,1,0.3133471759850125,0.4015750584172255,44,0.8181818181818182
1.7b,mBART-50,2,0.45068728550022,0.5167035365341363,24,0.7916666666666666
1.7b,mBART-50,3,0.5521564873526513,0.6665679363932854,14,0.7857142857142857
1.7b,mBART-50,4,0.8293678321202657,0.34579907159194895,44,0.7045454545454546
1.7b,mBART-50,5,0.26357716251952623,0.484079488821089,26,0.7692307692307693
1.7b,mBART-50,6,0.4493539121883381,0.5983475220770417,16,0.75
1.7b,mBART-50,7,0.45065264656577025,0.5798313676495992,18,0.7777777777777778
1.7b,mBART-50,8,0.8951223679020127,0.5037064307219072,18,0.6111111111111112
1.7b,nllb-200-1.3B,1,-0.043900636788443526,0.44679920723865807,44,0.8636363636363636
1.7b,nllb-200-1.3B,2,-0.18032747732265977,0.6189170068647054,24,0.875
1.7b,nllb-200-1.3B,3,0.04717379830710891,0.7636857816106403,14,0.8571428571428571
1.7b,nllb-200-1.3B,4,0.8293678321202657,0.34579907159194895,44,0.7045454545454546
1.7b,nllb-200-1.3B,5,-1.0410617912060012,0.7128179557736621,26,0.9230769230769231
1.7b,nllb-200-1.3B,6,-1.1236128523910285,0.9462588359259677,16,0.9375
1.7b,nllb-200-1.3B,7,1.0441342500651867,0.5175701782398818,18,0.6666666666666666
1.7b,nllb-200-1.3B,8,0.0408954213243123,0.5784500689240435,18,0.7777777777777778
1.7b,nllb-200-distilled-600M,1,0.46797837000127196,0.3853771456300076,44,0.7954545454545454
1.7b,nllb-200-distilled-600M,3,-0.6813433582999915,0.9693109285053393,14,0.9285714285714286
1.7b,nllb-200-distilled-600M,4,0.5791718389815992,0.36249383805977936,44,0.75
1.7b,nllb-200-distilled-600M,5,-0.2675753564344124,0.5536506698730022,26,0.8461538461538461
1.7b,nllb-200-distilled-600M,6,-0.4256354548732392,0.7488534772751257,16,0.875
1.7b,nllb-200-distilled-600M,7,0.45065264656577025,0.5798313676495992,18,0.7777777777777778
