chapter,pair,dA,dB,delta_AB,delta_A,delta_B,delta_0,interaction,se,n_items
5,grammar+omission,20%,10%,-0.6465374762887024,0.01571425534852584,-1.6797876448454252,-0.6504700578123896,0.3670658553958073,1.3251439933560512,22
5,grammar+omission,20%,20%,0.7165926674216782,0.01571425534852584,-0.2675753564344124,-0.6504700578123896,0.31798371069517506,1.0122166871431038,22
5,mistranslation+addition,10%,bad_10%,0.32336469420021413,-1.041061791206001,-1.0410617912060012,-0.41943341791608896,1.9860548586961273,1.2360564262492533,18
5,mistranslation+addition,10%,bad_20%,-0.020309669997749445,-1.041061791206001,-1.0410617912060012,-0.41943341791608896,1.6423804944981637,1.2946243312659573,15
5,mistranslation+omission,10%,10%,-0.3515055399521558,-1.041061791206001,-1.6797876448454252,-0.6504700578123895,1.718873838286881,1.5177618994513742,11
5,mistranslation+omission,10%,20%,1.4159654909983175,-1.041061791206001,-0.2675753564344124,-0.6504700578123895,2.0741325808263413,1.1244697246817852,20
5,mistranslation+addition,20%,bad_10%,0.5938949683007092,-0.6061962756831548,-1.0410617912060012,-0.41943341791608896,1.8217196172737762,1.1700631138940645,18
5,mistranslation+addition,20%,bad_20%,-0.014796413655713467,-0.6061962756831548,-1.0410617912060012,-0.41943341791608896,1.2130282353173536,1.2129448443742317,18
5,mistranslation+omission,20%,10%,-0.490799753866823,-0.6061962756831548,-1.6797876448454252,-0.6504700578123895,1.1447141088493673,1.4067841053929222,16
5,mistranslation+omission,20%,20%,-0.6078747201110799,-0.6061962756831548,-0.2675753564344124,-0.6504700578123895,-0.38457314580590213,1.3670360061592832,11
6,grammar+omission,10%,10%,0.10595909824207801,-0.4256354548732392,-1.1236128523910285,-0.4256354548732393,1.2295719506331064,1.4916464962287965,15
6,grammar+omission,10%,20%,0.10595909587574055,-0.4256354548732392,-1.1236128523910285,-0.4256354548732393,1.229571948266769,1.4916464963724225,15
6,grammar+omission,20%,10%,-0.16632023814463778,-1.1236128523910285,-1.1236128523910285,-0.4256354548732393,1.6552700117641799,1.597786326854471,16
6,grammar+omission,20%,20%,-0.4256354548732392,-1.1236128523910285,-1.1236128523910285,-0.4256354548732393,1.3959547950355784,1.622339010434165,16
6,mistranslation+addition,10%,bad_10%,0.10595909587574055,0.4493539121883381,0.06011233157471348,-0.6944283698732256,-1.0979355177605366,1.2721623729101637,15
6,mistranslation+addition,10%,bad_20%,-0.7842107517557861,0.4493539121883381,-0.4256354548732392,-0.6944283698732256,-1.5023575789441106,1.4927560936599555,11
6,mistranslation+omission,10%,10%,0.16260535341998852,0.4493539121883381,-1.1236128523910285,-0.6944283698732258,0.14243592374945313,1.4473687484229854,14
6,mistranslation+omission,10%,20%,0.3770746293674837,0.4493539121883381,-1.1236128523910285,-0.6944283698732258,0.35690519969694834,1.4357276357650326,13
6,mistranslation+addition,20%,bad_10%,-0.2527236141658137,-1.1236128523910285,0.06011233157471348,-0.6944283698732256,0.11634853677727566,1.550251124432645,12
6,mistranslation+addition,20%,bad_20%,-0.2527236141658137,-1.1236128523910285,-0.4256354548732392,-0.6944283698732256,0.6020963232252283,1.5927765143682704,12
6,mistranslation+omission,20%,10%,0.4901336430284434,-1.1236128523910285,-1.1236128523910285,-0.6944283698732258,2.0429309779372744,1.6669870045093318,9
6,mistranslation+omission,20%,20%,-1.2575840547762591,-1.1236128523910285,-1.1236128523910285,-0.6944283698732258,0.2952132801325722,1.8891656549977183,12
7,grammar+omission,10%,10%,0.6762665017160994,0.7641264169284064,1.0441342500651867,0.6625421848887165,-0.4694519803887772,1.136686006700771,9
7,grammar+omission,10%,20%,0.8317598433341618,0.7641264169284064,1.3031421655022741,0.6625421848887165,-0.5729665542078023,1.1752641411647915,8
