chapter,pair,dA,dB,delta_AB,delta_A,delta_B,delta_0,interaction,se,n_items
5,mistranslation+omission,10%,20%,1.878823352842169,-1.9794999021987012,-0.3495660839557233,-0.3495660839557233,3.8583232550408706,2.2035127864013138,11
5,mistranslation+addition,20%,bad_10%,1.878823352842169,-1.9794999021987012,-1.9794999021987012,-0.7351352475524627,5.102687909687109,2.6865914088405147,11
5,mistranslation+addition,20%,bad_20%,2.246743949231208,-1.9794999021987012,-1.9794999021987012,-0.7351352475524627,5.470608506076148,2.6857202991921305,11
5,mistranslation+omission,20%,10%,1.878823352842169,-1.9794999021987012,-1.9794999021987012,-0.3495660839557233,5.488257073283848,2.6396814293978017,11
5,mistranslation+omission,20%,20%,1.878823352842169,-1.9794999021987012,-0.3495660839557233,-0.3495660839557233,3.8583232550408706,2.2035127864013138,11
6,grammar+omission,10%,10%,1.0383813896197849,0.22362909951157842,0.22362909951157842,-1.6002604171368746,-1.0091372265402465,2.1249291553110052,8
6,grammar+omission,10%,20%,0.22362909951157842,0.22362909951157842,-1.6002604171368746,-1.6002604171368746,0.0,2.7147918094087675,8
6,mistranslation+addition,10%,bad_10%,0.22362909951157842,-1.6002604171368746,0.22362909951157842,-1.6002604171368746,-2.7755575615628914e-17,2.7147918094087675,8
6,mistranslation+addition,10%,bad_20%,1.0383813896197849,-1.6002604171368746,0.22362909951157842,-1.6002604171368746,0.8147522901082065,2.6425225220574817,8
6,mistranslation+omission,10%,10%,1.625401309606988,-1.6002604171368746,0.22362909951157842,-1.6002604171368746,1.4017722100954095,2.6183666623830146,8
6,mistranslation+omission,10%,20%,1.0383813896197849,-1.6002604171368746,-1.6002604171368746,-1.6002604171368746,2.6386418067566595,3.074170887259087,8
6,mistranslation+addition,20%,bad_10%,0.22362909951157842,-1.6002604171368746,0.22362909951157842,-1.6002604171368746,-2.7755575615628914e-17,2.7147918094087675,8
6,mistranslation+addition,20%,bad_20%,0.22362909951157842,-1.6002604171368746,0.22362909951157842,-1.6002604171368746,-2.7755575615628914e-17,2.7147918094087675,8
6,mistranslation+omission,20%,10%,2.1340938417908126,-1.6002604171368746,0.22362909951157842,-1.6002604171368746,1.9104647422792342,2.6106234577638667,8
6,mistranslation+omission,20%,20%,1.0383813896197849,-1.6002604171368746,-1.6002604171368746,-1.6002604171368746,2.6386418067566595,3.074170887259087,8
7,grammar+omission,10%,10%,5.109213184534508,0.2083050435786193,0.2083050435786193,0.6024339539013795,5.2950370512786495,2.0408926025659837,9
7,grammar+omission,10%,20%,-18.0,0.2083050435786193,1.0033798189658816,0.6024339539013795,-18.609250908643123,3.3480132651564043,9
7,mistranslation+addition,10%,bad_10%,-27.0,0.2083050435786193,0.2083050435786193,0.6024339539013795,-26.81417613325586,3.4063953899376145,9
7,mistranslation+addition,10%,bad_20%,-36.0,0.2083050435786193,0.2083050435786193,0.6024339539013795,-35.814176133255856,3.406395389957855,9
7,mistranslation+omission,10%,10%,-18.0,0.2083050435786193,0.2083050435786193,-1.6028586366544224,-20.01946872381166,3.580165870936908,9
7,mistranslation+omission,10%,20%,-18.0,0.2083050435786193,1.0033798189658816,-1.6028586366544224,-20.814543499198923,3.5246633954700357,9
7,mistranslation+addition,20%,bad_10%,-9.0,-1.6028586366544224,0.2083050435786193,0.6024339539013795,-7.0030124530228175,3.7509636816650938,9
7,mistranslation+addition,20%,bad_20%,-18.0,-1.6028586366544224,0.2083050435786193,0.6024339539013795,-16.00301245302282,3.7521686100475553,9
7,mistranslation+omission,20%,10%,-18.0,-1.6028586366544224,0.2083050435786193,-1.6028586366544224,-18.20830504357862,3.910604621529683,9
7,mistranslation+omission,20%,20%,5.109213184534508,-1.6028586366544224,1.0033798189658816,-1.6028586366544224,4.1058333655686265,2.7313379639591435,9
8,grammar+omission,10%,10%,2.112764885305488,-1.8531694806391694,-1.8531694806391694,-0.5519600742947169,5.26714377228911,2.761969890444753,9
8,grammar+omission,10%,20%,1.6659566047159275,-1.8531694806391694,1.6659566047159275,-0.5519600742947169,1.3012094063444524,2.2089690541763978,9
8,mistranslation+addition,10%,bad_10%,1.192132290020278,-1.8531694806391694,-1.8531694806391694,-1.8531694806391696,3.045301770659447,2.919932436979485,9
