model,method,chapter,delta,se,n,acc
1.5b,nllb-200-1.3B,4,1.3010540282191272,0.43420264108951495,22,0.45454545454545453
1.5b,nllb-200-1.3B,5,-0.36614184630987345,0.6569619408540989,13,0.7692307692307693
1.5b,nllb-200-1.3B,6,-0.18549185892943287,0.8054335201577425,8,0.75
1.5b,nllb-200-1.3B,7,0.4043167064849874,0.7032447431294699,9,0.6666666666666666
1.5b,nllb-200-1.3B,8,0.4523868444979589,0.6684060435461432,9,0.5555555555555556
1.5b,nllb-200-distilled-600M,1,0.26171966376307276,0.4839143327659462,22,0.7272727272727273
1.5b,nllb-200-distilled-600M,2,0.4577466375829403,0.6117695470961695,12,0.6666666666666666
1.5b,nllb-200-distilled-600M,3,-0.5021932031423489,1.0102288258714163,7,0.8571428571428571
1.5b,nllb-200-distilled-600M,4,-0.14607364360940042,0.5114851116102629,22,0.7727272727272727
1.5b,nllb-200-distilled-600M,5,-0.36614184630987345,0.6569619408540989,13,0.7692307692307693
1.5b,nllb-200-distilled-600M,6,0.91998875404882,0.7132461101161668,8,0.5
1.5b,nllb-200-distilled-600M,7,0.87078637634036,0.6683382951238036,9,0.5555555555555556
1.5b,nllb-200-distilled-600M,8,-0.012196336397841666,0.7003341983637501,9,0.6666666666666666
1.7b,google_word_by_word,1,0.640320635082976,0.4643038999425594,22,0.6818181818181818
1.7b,google_word_by_word,2,1.6364946943697858,0.5806474353479615,12,0.4166666666666667
1.7b,google_word_by_word,3,1.0796177033900807,0.7579552157763304,7,0.5714285714285714
1.7b,google_word_by_word,4,0.8875310288850635,0.4413351938883882,22,0.5909090909090909
1.7b,google_word_by_word,5,1.1881668408766655,0.5680158933020357,13,0.46153846153846156
1.7b,google_word_by_word,6,-0.038681277159797696,0.8073246348476082,8,0.75
1.7b,google_word_by_word,7,2.4257024826872855,0.751241735152677,9,0.2222222222222222
1.7b,google_word_by_word,8,1.5029306252784287,0.6923187805526287,9,0.3333333333333333
1.7b,helsinki,1,0.1682042246073973,0.5124111145310731,22,0.7727272727272727
1.7b,helsinki,2,0.609402908202693,0.6124017058691122,12,0.6666666666666666
1.7b,helsinki,3,1.6398854123645434,0.7474025905785083,7,0.42857142857142855
1.7b,helsinki,5,0.5359941809487447,0.5817969816328248,13,0.6153846153846154
1.7b,helsinki,6,-2.3799553021297486,1.6559625878375968,8,1.0
1.7b,helsinki,7,1.0211723164575826,0.668670837197406,9,0.5555555555555556
1.7b,helsinki,8,1.0451471793638563,0.6660926719558272,9,0.4444444444444444
1.7b,llm_prompt_high,1,-0.8859052789253732,0.7130038583641378,22,0.9090909090909091
1.7b,llm_prompt_high,2,0.609402908202693,0.6124017058691122,12,0.6666666666666666
1.7b,llm_prompt_high,3,-2.043622623695912,1.7439906793952795,7,1.0
1.7b,llm_prompt_high,4,-0.2741831865148823,0.5517902519161604,22,0.8181818181818182
1.7b,llm_prompt_high,5,0.18312584587612857,0.608996442632226,13,0.6923076923076923
1.7b,llm_prompt_high,6,-0.038681277159797696,0.8073246348476082,8,0.75
1.7b,llm_prompt_high,7,0.5538530351818783,0.7041926041254473,9,0.6666666666666666
1.7b,llm_prompt_high,8,0.6027717540959502,0.6686907439294046,9,0.5555555555555556
1.7b,llm_prompt_low,1,-0.4516172781187864,0.6131144190105976,22,0.8636363636363636
1.7b,llm_prompt_low,2,0.609402908202693,0.6124017058691122,12,0.6666666666666666
1.7b,llm_prompt_low,3,-0.3619890662120415,1.015601986480985,7,0.8571428571428571
1.7b,llm_prompt_low,4,0.6888652260328507,0.4507599793633106,22,0.6363636363636364
1.7b,llm_prompt_low,5,0.8659526899549739,0.5691023445967354,13,0.5384615384615384
1.7b,llm_prompt_low,6,-0.8212928951038169,0.9885104906190401,8,0.875
1.7b,llm_prompt_low,7,1.4617787490673575,0.6634850966372737,9,0.4444444444444444
