model,method,chapter,delta,se,n,acc
1.5b,llm_prompt_medium,6,-2.1110775305205007,1.7203650637920198,8,1.0
1.5b,llm_prompt_medium,7,1.2753692948026112,0.6665729409561899,9,0.5555555555555556
1.5b,llm_prompt_medium,8,-0.1065078837357103,0.784141478136843,9,0.7777777777777778
1.5b,mBART-50,1,0.3892244057021301,0.5101197244074532,22,0.7727272727272727
1.5b,mBART-50,2,1.330772109492339,0.5869409182467114,12,0.5833333333333334
1.5b,mBART-50,3,-1.821975424846607,1.8072198056826014,7,1.0
1.5b,mBART-50,4,0.22893586399671592,0.5163615547710415,22,0.7727272727272727
1.5b,mBART-50,5,0.5088159828649212,0.6032256914313966,13,0.6923076923076923
1.5b,mBART-50,6,-0.48244583319311884,0.9947208664032852,8,0.875
1.5b,mBART-50,7,2.1619140583315075,0.6842867559441561,9,0.3333333333333333
1.5b,mBART-50,8,0.4401892783076178,0.7045201705627665,9,0.6666666666666666
1.5b,nllb-200-1.3B,1,0.10902833245974328,0.5508600340189086,22,0.8181818181818182
1.5b,nllb-200-1.3B,2,0.5659325518092948,0.6651272017003999,12,0.75
1.5b,nllb-200-1.3B,3,-1.821975424846607,1.8072198056826014,7,1.0
1.5b,nllb-200-1.3B,4,0.2289358639967159,0.5163615547710415,22,0.7727272727272727
1.5b,nllb-200-1.3B,5,-0.3686971043144671,0.7474254399146977,13,0.8461538461538461
1.5b,nllb-200-1.3B,6,-2.1110775305205007,1.7203650637920198,8,1.0
1.5b,nllb-200-1.3B,7,2.6685282352396804,0.747336412983909,9,0.2222222222222222
1.5b,nllb-200-1.3B,8,0.9098198542316674,0.6717184558739522,9,0.5555555555555556
1.5b,nllb-200-distilled-600M,1,0.10902833245974328,0.5508600340189086,22,0.8181818181818182
1.5b,nllb-200-distilled-600M,2,0.9720018488888551,0.6140633598924821,12,0.6666666666666666
1.5b,nllb-200-distilled-600M,3,-0.06236151026572014,1.0265918634457654,7,0.8571428571428571
1.5b,nllb-200-distilled-600M,4,-0.05756820077535108,0.5564211961027047,22,0.8181818181818182
1.5b,nllb-200-distilled-600M,5,-0.3686971043144671,0.7474254399146977,13,0.8461538461538461
1.5b,nllb-200-distilled-600M,6,-2.1110775305205007,1.7203650637920198,8,1.0
1.5b,nllb-200-distilled-600M,7,2.1619140583315075,0.6842867559441561,9,0.3333333333333333
1.5b,nllb-200-distilled-600M,8,0.9098198542316674,0.6717184558739522,9,0.5555555555555556
1.7b,google_word_by_word,1,0.08900273955577578,0.7264686513412764,22,0.9090909090909091
1.7b,google_word_by_word,2,0.8089366590714279,0.7721061485117959,12,0.8333333333333334
1.7b,google_word_by_word,3,-1.3417334161767465,1.9757609297644154,7,1.0
1.7b,google_word_by_word,4,1.4856018188449633,0.46990679576935607,22,0.6818181818181818
1.7b,google_word_by_word,5,0.8742155378941313,0.660384882677818,13,0.7692307692307693
1.7b,google_word_by_word,6,-1.6002604171368746,1.8750464601797023,8,1.0
1.7b,google_word_by_word,7,-1.6028586366544224,1.872759511036589,9,1.0
1.7b,google_word_by_word,8,-0.14560408183488638,1.0010994023062145,9,0.8888888888888888
1.7b,helsinki,1,0.08900273955577578,0.7264686513412764,22,0.9090909090909091
1.7b,helsinki,2,0.8089366590714279,0.7721061485117959,12,0.8333333333333334
1.7b,helsinki,3,0.637828537721526,1.056868408610892,7,0.8571428571428571
