chapter,model,method,status,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_score_mean,open_embedding_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate
4,1.7b,google_word_by_word,ok,44,22,15,0.6818181818181818,22,0.5909090909090909,0.36951045415568395,,,
4,1.7b,llm_prompt_high,ok,44,22,17,0.7727272727272727,22,0.8181818181818182,0.4503008238349926,,,
4,1.7b,llm_prompt_low,ok,44,22,19,0.8636363636363636,22,0.6363636363636364,0.42232768630481776,,,
4,1.7b,mBART-50,ok,44,22,17,0.7727272727272727,22,0.6363636363636364,0.4127572274939727,,,
4,1.7b,nllb-200-1.3B,ok,44,22,19,0.8636363636363636,22,0.5454545454545454,0.3689756820536555,,,
5,llama 1b,google_word_by_word,ok,26,13,1,0.07692307692307693,13,0.38461538461538464,0.3568409642596165,,,
5,llama 1b,llm_prompt_high,ok,26,13,9,0.6923076923076923,13,0.38461538461538464,0.45165758639290154,,,
5,llama 1b,llm_prompt_low,ok,26,13,1,0.07692307692307693,13,0.38461538461538464,0.35837196032976026,,,
5,llama 1b,mBART-50,ok,26,13,2,0.15384615384615385,13,0.15384615384615385,0.299862200605969,,,
5,llama 1b,nllb-200-1.3B,ok,26,13,7,0.5384615384615384,13,0.6153846153846154,0.42049814446375156,,,
5,1.5b,google_word_by_word,ok,26,13,11,0.8461538461538461,13,0.5384615384615384,0.3860927649713511,,,
5,1.5b,llm_prompt_high,ok,26,13,12,0.9230769230769231,13,0.7692307692307693,0.5424240891984219,,,
5,1.5b,llm_prompt_low,ok,26,13,12,0.9230769230769231,13,0.8461538461538461,0.5200842922176707,,,
5,1.5b,mBART-50,ok,26,13,9,0.6923076923076923,13,0.6923076923076923,0.49491318026851616,,,
5,1.5b,nllb-200-1.3B,ok,26,13,11,0.8461538461538461,13,0.7692307692307693,0.5188211395614434,,,
5,1.7b,google_word_by_word,ok,26,13,10,0.7692307692307693,13,0.46153846153846156,0.3858444609156396,,,
5,1.7b,llm_prompt_high,ok,26,13,12,0.9230769230769231,13,0.6923076923076923,0.48686358740532687,,,
5,1.7b,llm_prompt_low,ok,26,13,9,0.6923076923076923,13,0.5384615384615384,0.4509712802872769,,,
5,1.7b,mBART-50,ok,26,13,11,0.8461538461538461,13,0.6923076923076923,0.4310862658218348,,,
5,1.7b,nllb-200-1.3B,ok,26,13,13,1.0,13,0.8461538461538461,0.4659329078843625,,,
6,llama 1b,google_word_by_word,ok,16,8,2,0.25,8,0.25,0.3027387239848825,,,
6,llama 1b,llm_prompt_high,ok,16,8,6,0.75,8,0.375,0.26540549720643547,,,
6,llama 1b,llm_prompt_low,ok,16,8,3,0.375,8,0.375,0.3635123078779101,,,
6,llama 1b,mBART-50,ok,16,8,3,0.375,8,0.375,0.35819545628662486,,,
6,llama 1b,nllb-200-1.3B,ok,16,8,6,0.75,8,0.5,0.3129063684805024,,,
6,1.5b,google_word_by_word,ok,16,8,8,1.0,8,0.5,0.4616845663351551,,,
6,1.5b,llm_prompt_high,ok,16,8,8,1.0,8,0.875,0.45250935816425364,,,
6,1.5b,llm_prompt_low,ok,16,8,7,0.875,8,0.625,0.39625327646140607,,,
6,1.5b,mBART-50,ok,16,8,7,0.875,8,0.75,0.4830070848317172,,,
6,1.5b,nllb-200-1.3B,ok,16,8,8,1.0,8,0.75,0.5439713677592636,,,
6,1.7b,google_word_by_word,ok,16,8,8,1.0,8,0.75,0.42573871497812815,,,
6,1.7b,llm_prompt_high,ok,16,8,8,1.0,8,0.75,0.5387353454460724,,,
6,1.7b,llm_prompt_low,ok,16,8,8,1.0,8,0.875,0.5212429939627758,,,
6,1.7b,mBART-50,ok,16,8,7,0.875,8,0.625,0.49357506971826115,,,
6,1.7b,nllb-200-1.3B,ok,16,8,8,1.0,8,0.875,0.4743501726044661,,,
7,llama 1b,google_word_by_word,ok,18,9,2,0.2222222222222222,9,0.1111111111111111,0.22420682792216418,,,
