chapter,model,method,status,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_score_mean,open_embedding_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate
7,llama 1b,helsinki,ok,18,9,1,0.1111111111111111,9,0.1111111111111111,,,,
7,llama 1b,llm_prompt_high,ok,18,9,6,0.6666666666666666,9,0.16666666666666666,,0.05555555555555555,0.5,0.05555555555555555
7,llama 1b,llm_prompt_low,ok,18,9,0,0.0,9,0.2777777777777778,,,,
7,llama 1b,llm_prompt_medium,ok,18,9,2,0.2222222222222222,9,0.2777777777777778,,,,
7,llama 1b,mBART-50,ok,18,9,2,0.2222222222222222,9,0.2222222222222222,,,,
7,llama 1b,nllb-200-1.3B,ok,18,9,4,0.4444444444444444,9,0.2222222222222222,,,,
7,llama 1b,nllb-200-distilled-600M,ok,18,9,2,0.2222222222222222,9,0.4444444444444444,,,,
7,1.5b,google_word_by_word,ok,18,9,3,0.3333333333333333,9,0.3333333333333333,,,,
7,1.5b,helsinki,ok,18,9,3,0.3333333333333333,9,0.8888888888888888,,,,
7,1.5b,llm_prompt_high,ok,18,9,4,0.4444444444444444,9,0.8888888888888888,,,,
7,1.5b,llm_prompt_low,ok,18,9,3,0.3333333333333333,9,0.8888888888888888,,,,
7,1.5b,llm_prompt_medium,ok,18,9,5,0.5555555555555556,9,0.5555555555555556,,,,
7,1.5b,mBART-50,ok,18,9,3,0.3333333333333333,9,0.6666666666666666,,,,
7,1.5b,nllb-200-1.3B,ok,18,9,2,0.2222222222222222,9,0.3888888888888889,,,,
7,1.5b,nllb-200-distilled-600M,ok,18,9,3,0.3333333333333333,9,0.5555555555555556,,,,
7,1.7b,google_word_by_word,ok,18,9,9,1.0,9,0.1111111111111111,,,,
7,1.7b,helsinki,ok,18,9,9,1.0,9,0.6111111111111112,,,,
7,1.7b,llm_prompt_high,ok,18,9,9,1.0,9,0.6111111111111112,,,,
7,1.7b,llm_prompt_low,ok,18,9,8,0.8888888888888888,9,0.5555555555555556,,,,
7,1.7b,llm_prompt_medium,ok,18,9,8,0.8888888888888888,9,0.2777777777777778,,,,
7,1.7b,mBART-50,ok,18,9,8,0.8888888888888888,9,0.6666666666666666,,,,
7,1.7b,nllb-200-1.3B,ok,18,9,8,0.8888888888888888,9,0.3888888888888889,,,,
7,1.7b,nllb-200-distilled-600M,ok,18,9,8,0.8888888888888888,9,0.5,,,,
8,llama 1b,google_word_by_word,ok,9,4,0,0.0,5,0.2,,,,
8,llama 1b,helsinki,ok,9,4,0,0.0,5,0.1,,,,
8,llama 1b,llm_prompt_high,ok,18,9,7,0.7777777777777778,9,0.3333333333333333,,0.1,0.6111111111111112,0.1111111111111111
8,llama 1b,llm_prompt_low,ok,9,4,0,0.0,5,0.2,,,,
8,llama 1b,llm_prompt_medium,ok,9,4,0,0.0,5,0.1,,,,
8,llama 1b,mBART-50,ok,9,4,0,0.0,5,0.0,,,,
8,llama 1b,nllb-200-1.3B,ok,18,9,4,0.4444444444444444,9,0.5555555555555556,,,,
8,llama 1b,nllb-200-distilled-600M,ok,9,4,0,0.0,5,0.2,,,,
