chapter,method,model,item_count,scored_count,combined_mean,mcq_count,mcq_accuracy,open_count,open_llm_mean
3,llm_prompt_high,llama 1b,14,14,0.5,7,0.7142857142857143,7,0.2857142857142857
3,llm_prompt_low,1.5b,14,14,0.9642857142857143,7,1.0,7,0.9285714285714286
3,llm_prompt_low,1.7b,14,14,0.9285714285714286,7,1.0,7,0.8571428571428571
3,llm_prompt_low,llama 1b,14,14,0.35714285714285715,7,0.5714285714285714,7,0.14285714285714285
3,llm_prompt_medium,1.5b,14,14,0.8928571428571429,7,1.0,7,0.7857142857142857
3,llm_prompt_medium,1.7b,14,14,0.9642857142857143,7,1.0,7,0.9285714285714286
3,llm_prompt_medium,llama 1b,14,14,0.42857142857142855,7,0.42857142857142855,7,0.42857142857142855
3,mBART-50,1.5b,14,14,0.75,7,1.0,7,0.5
3,mBART-50,1.7b,14,14,0.6785714285714286,7,1.0,7,0.35714285714285715
3,mBART-50,llama 1b,14,14,0.42857142857142855,7,0.2857142857142857,7,0.5714285714285714
3,nllb-200-1.3B,1.5b,14,14,0.9285714285714286,7,1.0,7,0.8571428571428571
3,nllb-200-1.3B,1.7b,14,14,0.8214285714285714,7,0.8571428571428571,7,0.7857142857142857
3,nllb-200-1.3B,llama 1b,14,14,0.6428571428571429,7,0.5714285714285714,7,0.7142857142857143
3,nllb-200-distilled-600M,1.5b,14,14,0.8928571428571429,7,0.8571428571428571,7,0.9285714285714286
3,nllb-200-distilled-600M,1.7b,14,14,0.8571428571428571,7,1.0,7,0.7142857142857143
3,nllb-200-distilled-600M,llama 1b,14,14,0.2857142857142857,7,0.42857142857142855,7,0.14285714285714285
4,google_word_by_word,1.5b,44,44,0.6818181818181818,22,0.8636363636363636,22,0.5
4,google_word_by_word,1.7b,44,44,0.625,22,0.6818181818181818,22,0.5681818181818182
4,google_word_by_word,llama 1b,44,44,0.25,22,0.22727272727272727,22,0.2727272727272727
4,helsinki,1.5b,44,44,0.7159090909090909,22,0.9090909090909091,22,0.5227272727272727
4,helsinki,1.7b,44,44,0.5,22,0.5909090909090909,22,0.4090909090909091
4,helsinki,llama 1b,44,44,0.3181818181818182,22,0.36363636363636365,22,0.2727272727272727
4,llm_prompt_high,1.5b,44,44,0.7386363636363636,22,0.8636363636363636,22,0.6136363636363636
4,llm_prompt_high,1.7b,44,44,0.8068181818181818,22,0.7727272727272727,22,0.8409090909090909
4,llm_prompt_high,llama 1b,44,44,0.6136363636363636,22,0.6818181818181818,22,0.5454545454545454
4,llm_prompt_low,1.5b,44,44,0.8181818181818182,22,0.9090909090909091,22,0.7272727272727273
4,llm_prompt_low,1.7b,44,44,0.7840909090909091,22,0.8636363636363636,22,0.7045454545454546
4,llm_prompt_low,llama 1b,44,44,0.29545454545454547,22,0.2727272727272727,22,0.3181818181818182
4,llm_prompt_medium,1.5b,44,44,0.7272727272727273,22,0.8636363636363636,22,0.5909090909090909
4,llm_prompt_medium,1.7b,44,44,0.7613636363636364,22,0.8636363636363636,22,0.6590909090909091
4,llm_prompt_medium,llama 1b,44,44,0.3977272727272727,22,0.45454545454545453,22,0.3409090909090909
4,mBART-50,1.5b,44,44,0.6477272727272727,22,0.7727272727272727,22,0.5227272727272727
4,mBART-50,1.7b,44,44,0.6818181818181818,22,0.7727272727272727,22,0.5909090909090909
4,mBART-50,llama 1b,44,44,0.29545454545454547,22,0.36363636363636365,22,0.22727272727272727
4,nllb-200-1.3B,1.5b,44,44,0.5340909090909091,22,0.7727272727272727,22,0.29545454545454547
4,nllb-200-1.3B,1.7b,44,44,0.6363636363636364,22,0.8636363636363636,22,0.4090909090909091
4,nllb-200-1.3B,llama 1b,44,44,0.5909090909090909,22,0.7272727272727273,22,0.45454545454545453
4,nllb-200-distilled-600M,1.5b,44,44,0.7272727272727273,22,0.8181818181818182,22,0.6363636363636364
4,nllb-200-distilled-600M,1.7b,44,44,0.75,22,0.8636363636363636,22,0.6363636363636364
4,nllb-200-distilled-600M,llama 1b,44,44,0.4090909090909091,22,0.36363636363636365,22,0.45454545454545453
5,google_word_by_word,1.5b,26,26,0.6538461538461539,13,0.8461538461538461,13,0.46153846153846156
5,google_word_by_word,1.7b,26,26,0.6538461538461539,13,0.7692307692307693,13,0.5384615384615384
5,google_word_by_word,llama 1b,26,26,0.17307692307692307,13,0.07692307692307693,13,0.2692307692307692
5,helsinki,1.5b,26,26,0.7115384615384616,13,0.7692307692307693,13,0.6538461538461539
5,helsinki,1.7b,26,26,0.7692307692307693,13,0.9230769230769231,13,0.6153846153846154
5,helsinki,llama 1b,26,26,0.2692307692307692,13,0.15384615384615385,13,0.38461538461538464
5,llm_prompt_high,1.5b,26,26,0.8076923076923077,13,0.9230769230769231,13,0.6923076923076923
5,llm_prompt_high,1.7b,26,26,0.9423076923076923,13,0.9230769230769231,13,0.9615384615384616
5,llm_prompt_high,llama 1b,26,26,0.5384615384615384,13,0.6923076923076923,13,0.38461538461538464
5,llm_prompt_low,1.5b,26,26,0.9230769230769231,13,0.9230769230769231,13,0.9230769230769231
5,llm_prompt_low,1.7b,26,26,0.5961538461538461,13,0.6923076923076923,13,0.5
5,llm_prompt_low,llama 1b,26,26,0.3076923076923077,13,0.07692307692307693,13,0.5384615384615384
5,llm_prompt_medium,1.5b,26,26,0.7115384615384616,13,0.6153846153846154,13,0.8076923076923077
5,llm_prompt_medium,1.7b,26,26,0.8846153846153846,13,0.9230769230769231,13,0.8461538461538461
5,llm_prompt_medium,llama 1b,26,26,0.40384615384615385,13,0.15384615384615385,13,0.6538461538461539
5,mBART-50,1.5b,26,26,0.6923076923076923,13,0.6923076923076923,13,0.6923076923076923
5,mBART-50,1.7b,26,26,0.6923076923076923,13,0.8461538461538461,13,0.5384615384615384
