pool,pool_size,theta,arm,draws,tau,fit_slope,seed,step,mean_se,n_active
full,204,-1.0,random,500,0.5,group,2026,17,0.8357021268026005,500
full,204,-1.0,random,500,0.5,group,2026,18,0.8281414562820627,500
full,204,-1.0,random,500,0.5,group,2026,19,0.820764134560369,500
full,204,-1.0,random,500,0.5,group,2026,20,0.8136061158775822,500
full,204,-1.0,random,500,0.5,group,2026,21,0.8067803427727581,500
full,204,-1.0,random,500,0.5,group,2026,22,0.8005264159350811,500
full,204,-1.0,random,500,0.5,group,2026,23,0.7937241631625575,500
full,204,-1.0,random,500,0.5,group,2026,24,0.7872912527538927,500
full,204,-1.0,random,500,0.5,group,2026,25,0.7811386212676111,500
full,204,-1.0,random,500,0.5,group,2026,26,0.7748196836850058,500
full,204,-1.0,random,500,0.5,group,2026,27,0.7689418802451605,500
full,204,-1.0,random,500,0.5,group,2026,28,0.7633631721717615,500
full,204,-1.0,random,500,0.5,group,2026,29,0.7581174845491535,500
full,204,-1.0,random,500,0.5,group,2026,30,0.752353985079711,500
full,204,-1.0,random,500,0.5,group,2026,31,0.7466977878944553,500
full,204,-1.0,random,500,0.5,group,2026,32,0.7416388718582795,500
full,204,-1.0,random,500,0.5,group,2026,33,0.736314121681108,500
full,204,-1.0,random,500,0.5,group,2026,34,0.7314759697767811,500
full,204,-1.0,random,500,0.5,group,2026,35,0.7266004666141325,500
full,204,-1.0,random,500,0.5,group,2026,36,0.7218198517951303,500
full,204,-1.0,random,500,0.5,group,2026,37,0.7170691357599482,500
full,204,-1.0,random,500,0.5,group,2026,38,0.7123569265860566,500
full,204,-1.0,random,500,0.5,group,2026,39,0.7076690336010963,500
full,204,-1.0,random,500,0.5,group,2026,40,0.7029933953792308,500
full,204,-1.0,random,500,0.5,group,2026,41,0.6985273830742408,500
full,204,-1.0,random,500,0.5,group,2026,42,0.694094937920587,500
full,204,-1.0,random,500,0.5,group,2026,43,0.689987435467978,500
full,204,-1.0,random,500,0.5,group,2026,44,0.6858920979565334,500
full,204,-1.0,random,500,0.5,group,2026,45,0.6817622972173435,500
full,204,-1.0,random,500,0.5,group,2026,46,0.6779066444076921,500
full,204,-1.0,random,500,0.5,group,2026,47,0.6740808482745216,500
full,204,-1.0,random,500,0.5,group,2026,48,0.6698881933709518,500
full,204,-1.0,random,500,0.5,group,2026,49,0.6658909586388936,500
full,204,-1.0,random,500,0.5,group,2026,50,0.6621922871325168,500
full,204,-1.0,random,500,0.5,group,2026,51,0.6583963408964201,500
full,204,-1.0,random,500,0.5,group,2026,52,0.6549961065933997,500
full,204,-1.0,random,500,0.5,group,2026,53,0.6513231468084887,500
full,204,-1.0,random,500,0.5,group,2026,54,0.6474331908391076,500
full,204,-1.0,random,500,0.5,group,2026,55,0.6437587336302033,500
full,204,-1.0,random,500,0.5,group,2026,56,0.6403406699178249,500
full,204,-1.0,random,500,0.5,group,2026,57,0.637164514167411,500
full,204,-1.0,random,500,0.5,group,2026,58,0.6339218958147604,500
full,204,-1.0,random,500,0.5,group,2026,59,0.6307106962867118,500
full,204,-1.0,random,500,0.5,group,2026,60,0.6277655928859405,500
full,204,-1.0,random,500,0.5,group,2026,61,0.6245185609402074,500
full,204,-1.0,random,500,0.5,group,2026,62,0.6213460168539857,500
full,204,-1.0,random,500,0.5,group,2026,63,0.6182758957082135,500
full,204,-1.0,random,500,0.5,group,2026,64,0.6152924085330812,500
full,204,-1.0,random,500,0.5,group,2026,65,0.6125774750997964,500
full,204,-1.0,random,500,0.5,group,2026,66,0.6095275576508316,500
full,204,-1.0,random,500,0.5,group,2026,67,0.6066657535942129,500
full,204,-1.0,random,500,0.5,group,2026,68,0.6039816959509373,500
full,204,-1.0,random,500,0.5,group,2026,69,0.6014497516869451,500
full,204,-1.0,random,500,0.5,group,2026,70,0.598605306148121,500
full,204,-1.0,random,500,0.5,group,2026,71,0.5958023458736429,500
full,204,-1.0,random,500,0.5,group,2026,72,0.593093791831511,500
full,204,-1.0,random,500,0.5,group,2026,73,0.5902653842184182,500
full,204,-1.0,random,500,0.5,group,2026,74,0.5877132190229888,500
full,204,-1.0,random,500,0.5,group,2026,75,0.5852299808522311,500
full,204,-1.0,random,500,0.5,group,2026,76,0.5825467301175132,500
full,204,-1.0,random,500,0.5,group,2026,77,0.5799767363247436,500
full,204,-1.0,random,500,0.5,group,2026,78,0.5776641872689829,500
full,204,-1.0,random,500,0.5,group,2026,79,0.5750330066859265,500
full,204,-1.0,random,500,0.5,group,2026,80,0.572818183364814,500
full,204,-1.0,random,500,0.5,group,2026,81,0.5704777511828675,500
full,204,-1.0,random,500,0.5,group,2026,82,0.5682990946142185,500
full,204,-1.0,random,500,0.5,group,2026,83,0.5659228577647347,500
full,204,-1.0,random,500,0.5,group,2026,84,0.5634878513541314,500
