pool,pool_size,theta,arm,draws,tau,fit_slope,seed,step,mean_se,n_active
full,204,-1.0,adaptive,500,0.5,group,2026,98,0.4709778070911793,18
full,204,-1.0,adaptive,500,0.5,group,2026,99,0.47066092365605006,17
full,204,-1.0,adaptive,500,0.5,group,2026,100,0.4705325204879886,16
full,204,-1.0,adaptive,500,0.5,group,2026,101,0.4709098097092098,15
full,204,-1.0,adaptive,500,0.5,group,2026,102,0.470626255618231,15
full,204,-1.0,random,500,0.5,group,2026,1,0.987445788316154,500
full,204,-1.0,random,500,0.5,group,2026,2,0.9749487945279167,500
full,204,-1.0,random,500,0.5,group,2026,3,0.963855501045319,500
full,204,-1.0,random,500,0.5,group,2026,4,0.9528740375312998,500
full,204,-1.0,random,500,0.5,group,2026,5,0.941773198839052,500
full,204,-1.0,random,500,0.5,group,2026,6,0.9314506345234498,500
full,204,-1.0,random,500,0.5,group,2026,7,0.9221622666545725,500
full,204,-1.0,random,500,0.5,group,2026,8,0.9128337639205201,500
full,204,-1.0,random,500,0.5,group,2026,9,0.9033381037356574,500
full,204,-1.0,random,500,0.5,group,2026,10,0.8945937271857578,500
full,204,-1.0,random,500,0.5,group,2026,11,0.8849065960908971,500
full,204,-1.0,random,500,0.5,group,2026,12,0.8766960537033984,500
full,204,-1.0,random,500,0.5,group,2026,13,0.8686498994214513,500
full,204,-1.0,random,500,0.5,group,2026,14,0.8613181183518173,500
full,204,-1.0,random,500,0.5,group,2026,15,0.853342990039619,500
full,204,-1.0,random,500,0.5,group,2026,16,0.8460614483189064,500
full,204,-1.0,random,500,0.5,group,2026,17,0.8386503676998527,500
full,204,-1.0,random,500,0.5,group,2026,18,0.8319265643227746,500
full,204,-1.0,random,500,0.5,group,2026,19,0.8243826236892908,500
full,204,-1.0,random,500,0.5,group,2026,20,0.8176015648326219,500
full,204,-1.0,random,500,0.5,group,2026,21,0.8111046847422972,500
full,204,-1.0,random,500,0.5,group,2026,22,0.8049848511014773,500
full,204,-1.0,random,500,0.5,group,2026,23,0.7984267761803407,500
full,204,-1.0,random,500,0.5,group,2026,24,0.7922429032765463,500
full,204,-1.0,random,500,0.5,group,2026,25,0.7866840933654048,500
full,204,-1.0,random,500,0.5,group,2026,26,0.7804790796217571,500
full,204,-1.0,random,500,0.5,group,2026,27,0.7748937186894344,500
full,204,-1.0,random,500,0.5,group,2026,28,0.7698771137991953,500
full,204,-1.0,random,500,0.5,group,2026,29,0.7647974723317731,500
full,204,-1.0,random,500,0.5,group,2026,30,0.759485205310453,500
full,204,-1.0,random,500,0.5,group,2026,31,0.753951933542433,500
full,204,-1.0,random,500,0.5,group,2026,32,0.7489472010836818,500
full,204,-1.0,random,500,0.5,group,2026,33,0.7442882210788831,500
full,204,-1.0,random,500,0.5,group,2026,34,0.7398877133038175,500
full,204,-1.0,random,500,0.5,group,2026,35,0.7350582251475325,500
full,204,-1.0,random,500,0.5,group,2026,36,0.7304324392133317,500
full,204,-1.0,random,500,0.5,group,2026,37,0.7255950741978227,500
full,204,-1.0,random,500,0.5,group,2026,38,0.7203237921047465,500
full,204,-1.0,random,500,0.5,group,2026,39,0.7157883142763313,500
full,204,-1.0,random,500,0.5,group,2026,40,0.7112984889503152,500
full,204,-1.0,random,500,0.5,group,2026,41,0.7068052834744983,500
full,204,-1.0,random,500,0.5,group,2026,42,0.7028359054864903,500
full,204,-1.0,random,500,0.5,group,2026,43,0.6987980708891444,500
full,204,-1.0,random,500,0.5,group,2026,44,0.6947409930652209,500
full,204,-1.0,random,500,0.5,group,2026,45,0.6910275444157217,500
full,204,-1.0,random,500,0.5,group,2026,46,0.6871249097896144,500
full,204,-1.0,random,500,0.5,group,2026,47,0.6832944063717484,500
full,204,-1.0,random,500,0.5,group,2026,48,0.6791920641952337,500
full,204,-1.0,random,500,0.5,group,2026,49,0.6754146296521052,500
full,204,-1.0,random,500,0.5,group,2026,50,0.6720453305693362,500
full,204,-1.0,random,500,0.5,group,2026,51,0.6683831905830243,500
full,204,-1.0,random,500,0.5,group,2026,52,0.6649206638944367,500
full,204,-1.0,random,500,0.5,group,2026,53,0.6612779676119671,500
full,204,-1.0,random,500,0.5,group,2026,54,0.6575714119762323,500
full,204,-1.0,random,500,0.5,group,2026,55,0.6541875254152895,500
full,204,-1.0,random,500,0.5,group,2026,56,0.6507457991669594,500
full,204,-1.0,random,500,0.5,group,2026,57,0.647539869766321,500
full,204,-1.0,random,500,0.5,group,2026,58,0.6445776834760955,500
full,204,-1.0,random,500,0.5,group,2026,59,0.6412575444697401,500
full,204,-1.0,random,500,0.5,group,2026,60,0.6381862643612847,500
full,204,-1.0,random,500,0.5,group,2026,61,0.6348224826114591,500
full,204,-1.0,random,500,0.5,group,2026,62,0.6317051603466524,500
full,204,-1.0,random,500,0.5,group,2026,63,0.6286398531030601,500
full,204,-1.0,random,500,0.5,group,2026,64,0.6255108346669223,500
full,204,-1.0,random,500,0.5,group,2026,65,0.6226306146530146,500
full,204,-1.0,random,500,0.5,group,2026,66,0.6197430751383431,500
full,204,-1.0,random,500,0.5,group,2026,67,0.6168089143284919,500
full,204,-1.0,random,500,0.5,group,2026,68,0.6142318644676324,500
full,204,-1.0,random,500,0.5,group,2026,69,0.6116280663971541,500
